"class";"feature0";"feature1";"feature2";"feature3";"feature4";"feature5";"feature6";"feature7";"feature8";"feature9";"feature10";"feature11";"feature12";"feature13";"feature14";"feature15";"feature16";"feature17";"feature18";"feature19";"feature20";"feature21";"feature22";"feature23";"feature24";"feature25";"feature26";"feature27";"feature28";"feature29";"feature30";"feature31";"feature32";"feature33";"feature34";"feature35";"feature36";"feature37";"feature38";"feature39";
"blues";39.8081;-13.3812;-4.52455;-1.01323;-0.927825;-2.49167;-0.999318;-0.221867;-1.01411;-2.75393;-2.14834;-1.31747;-0.796626;-2.33379;-2.72007;-1.75405;-0.147438;0.6132;2.85612;5.25701;6.00208;4.86913;1.74636;-0.683284;-2.20578;-4.73475;-4.55288;-0.684996;4.23555;4.1341;-1.97771;-6.78571;-4.8253;0.669517;3.35349;0.242588;-2.76726;-0.132296;3.11732;2.59725;
"blues";32.147;-11.1259;-2.75418;-1.78302;-0.0502445;-2.36096;-0.697641;-0.487916;-0.296507;-2.53391;-1.63395;-1.07391;-0.770617;-1.52784;-2.79324;-1.17522;0.181321;-0.470757;3.44182;3.44539;5.06309;4.16325;1.16058;-0.103033;-1.95836;-3.97426;-3.35686;-0.94289;3.96184;2.96658;-1.59247;-5.19157;-4.35294;0.997463;2.07104;0.474239;-2.34897;-0.507213;3.47777;1.01076;
"blues";26.6054;-10.8853;-2.9523;-0.236017;-0.681336;0.751235;1.45142;-0.181158;-2.01947;-2.46597;-3.57476;-2.74719;-0.799576;-0.0762244;0.916164;-0.58415;-0.4907;1.34126;1.11035;0.4276;3.66356;3.82703;2.05011;-0.42212;-0.72701;-1.1007;-3.63529;-0.806178;2.40523;1.99749;-1.68286;-6.01157;-3.24552;2.50722;2.57403;-0.0423554;-1.42983;-0.46854;1.38191;1.08643;
"blues";30.7911;-9.95979;-3.59634;-0.818649;-0.951463;-1.75344;-0.957801;-0.0361866;-0.943724;-1.93717;-1.83084;-0.939306;-0.838142;-1.57175;-2.4427;-1.30959;-0.26071;0.517164;2.31609;3.97549;4.91324;3.75376;1.50245;-0.251866;-1.97205;-3.68918;-3.63047;-0.505865;3.52384;3.17286;-1.62867;-5.20036;-4.0443;0.616171;2.52989;-0.00534823;-2.20505;-0.103881;2.62474;1.91606;
"blues";21.4325;-7.15906;-1.7233;-1.63429;0.320116;-1.54901;-0.396226;-1.16326;0.762216;-2.09557;-1.35079;-0.164498;-1.03911;-0.985741;-1.71865;-1.18188;-0.154668;0.528611;1.47905;2.84979;3.26309;2.72643;1.22014;-0.035383;-1.2903;-2.62193;-2.45809;-0.512892;2.63798;2.15612;-1.15786;-3.61254;-2.93689;0.477432;1.52776;-0.112783;-1.71531;-0.137013;2.30787;0.992391;
"blues";29.4852;-9.77592;-3.05902;-1.06678;-0.66184;-2.00321;-0.579318;-0.420813;-0.458251;-1.9046;-1.89062;-1.17064;-0.411874;-1.35442;-2.64327;-1.41192;0.105145;0.535449;1.73611;4.24162;4.36779;3.68133;1.63326;-0.40985;-1.79032;-3.63193;-3.50759;-0.209064;3.36369;2.59999;-1.10374;-5.12599;-3.87159;0.557806;2.4467;-0.0251646;-2.21514;0.037166;2.43577;1.90091;
"blues";30.4691;-11.0633;-2.34068;-0.37264;-1.51179;-2.74021;0.305744;0.109005;-1.82442;-1.78462;-0.778189;-1.18979;-1.00164;-1.16577;-2.555;-1.6641;-0.544634;1.00403;2.86409;3.00266;4.74353;3.61055;2.07317;-0.845607;-1.90854;-3.2737;-3.84721;-0.29035;3.61194;2.61109;-0.916161;-5.52295;-3.56113;0.780392;1.94607;-0.294748;-1.62845;-0.0482735;2.2448;1.7986;
"blues";25.9088;-12.3485;-0.0588497;2.07963;0.0246486;-2.5615;-2.70105;-1.77832;0.0860145;-0.551428;-1.21256;0.0577932;0.336667;-2.35064;-3.73297;-3.4634;1.15693;2.77002;3.24452;1.86456;2.96223;3.98192;0.412194;-0.174102;-1.05095;-2.14963;-2.76519;-0.510645;0.643061;2.07011;0.366013;-3.54575;-2.57102;0.0484409;0.494321;-1.12968;-1.30625;1.19409;2.47235;1.24167;
"blues";28.8238;-9.25766;-3.21264;-0.763765;-1.1812;-1.49184;-0.738309;-0.146025;-0.666195;-2.31409;-1.37655;-1.36883;-0.642436;-1.60312;-1.90839;-1.32863;-0.471239;0.668042;2.24851;3.61212;4.4484;3.78601;1.82596;-0.678599;-1.88524;-3.13755;-3.56771;-0.619563;3.43004;3.14959;-1.87248;-4.94093;-3.68021;0.531625;2.40284;-0.0787013;-1.98669;-0.0852932;2.39348;1.79185;
"blues";18.0173;-8.33422;1.62818;-0.0203805;-2.52922;-1.68635;0.941846;0.194753;-1.11707;-1.46238;-0.512516;-0.107064;-1.99148;-2.97364;1.43465;1.1554;-1.21691;-2.80733;1.48228;5.06398;2.73528;0.982043;0.684524;1.31806;-1.10198;-3.21306;-2.28853;1.49004;1.86853;0.521138;-1.7132;-1.60023;-1.83553;-0.880731;0.906819;0.383802;-0.836639;-0.3889;1.36801;1.12585;
